product_name,price,manufacture_date,entry_date,expiry_date,stock,type,imgList,species,dosage_use,side_effect
[60 tablets] Product helps reduce stress and behavioral disorders in pets KalmVet Vet Expert,133412,2023-05-04,2025-05-17,2028-08-04,156,accessory,"['https://salt.tikicdn.com/ts/product/fc/40/91/6e48e85f7664c69bfa00ffb50f043158.jpg', 'https://salt.tikicdn.com/ts/product/a2/13/48/e82d5bc1711df198af0d2ed83d5f3491.png', 'https://salt.tikicdn.com/ts/product/da/81/71/94cac5656e1492bfdae3056b8582b08c.png']",rabbit,Use 1 capsule daily after meals.,Mild digestive upset in some cases.
"BIO PROGARD Chewable Tablets Kill Ticks, Fleas, Mites, Demodex Dermatitis, Sarcoptes for Dogs",-34111,2024-06-27,2025-09-22,2028-08-30,172,accessory,"['https://salt.tikicdn.com/ts/product/39/b8/3e/7024b327329de932ccdc18f703804e4e.jpg', 'https://salt.tikicdn.com/ts/product/48/b1/2f/212957b4c4e160b1a5b7d2062ab5936f.jpg', 'https://salt.tikicdn.com/ts/product/56/36/2c/356365653a97ab5edf5bbda47602d315.jpg']",dog,Massage into skin until fully absorbed.,Temporary loss of appetite may occur.
NUVITA GEL Nutritional Gel for Dogs and Cats - 120g,-13692,2023-12-31,2025-05-26,2028-04-07,182,accessory,"['https://salt.tikicdn.com/ts/product/eb/c1/17/8e9c349663243737371ea6858d00b7e5.jpg', 'https://salt.tikicdn.com/ts/product/f9/9f/42/8460ec0a787322ca49d5729171a64043.jpg', 'https://salt.tikicdn.com/ts/product/18/76/77/48289f296eb6fe9d7800aa532a4c1ea3.jpg']",dog,Use as directed by your veterinarian.,Temporary changes in stool consistency.
"Vemedim Flucozol pet for dogs, cats, rabbits, pet birds, pet chickens, ringworm, respiratory fungus, 30ml bottle",-33605,2022-03-03,2025-12-22,2026-07-07,96,accessory,"['https://salt.tikicdn.com/ts/product/45/c4/27/f6896a5cf9583cb939abaff18c107b92.jpg', 'https://salt.tikicdn.com/ts/product/1e/a9/f1/404eaf421c7efc12479cb41254d2b2f3.jpg', 'https://salt.tikicdn.com/ts/product/27/85/96/fc1a1179281a859f7112ae0293f7cf14.jpg']",bird,"Apply externally only, avoid contact with eyes.",Mild itching at the application site.
[ GENUINE ] Megaderm Virbac box of 28 packs - Gel to help beautify the skin and smooth fur of dogs and cats,-90357,2022-05-28,2025-10-07,2026-02-13,135,accessory,"['https://salt.tikicdn.com/ts/product/50/32/e9/08c20a416d43c5fc1ccd8fc3dae55e4a.png', 'https://salt.tikicdn.com/ts/product/2b/5f/2b/06beebfb82fc898d6e3963c3f7212f3a.png', 'https://salt.tikicdn.com/ts/product/7c/37/11/536046d4e7b9f12443d7ceceeb42b43e.png']",rabbit,Use as directed by your veterinarian.,Temporary fatigue during early use.
"Vime Deworm deworming for dogs (Vemedim, box of 10 tablets)",-18331,2023-09-08,2024-07-20,2026-09-29,149,accessory,"['https://salt.tikicdn.com/ts/product/5d/b8/98/c13598a8a53ab3b4362cf9ae9420a034.png', 'https://salt.tikicdn.com/ts/product/b9/20/41/4f2745484dac90b8174a920fd190f83f.png', 'https://salt.tikicdn.com/ts/product/6e/bd/7b/c8ce9c1d10d0a5f4dff5d48b6016df48.png']",rabbit,Take twice a day with a full glass of water.,Mild itching at the application site.
"Hanvet Hantox Spray for Dogs, Cats, Scabies, and Fleas (100ml)",25160,2024-08-06,2025-02-01,2026-09-30,114,accessory,['https://salt.tikicdn.com/ts/product/da/7a/f4/0b05ac721183ec69272560c45179d307.jpg'],cate,Take twice a day with a full glass of water.,Mild drowsiness may occur during initial use.
"FIVE-PENSTREP.LA - supports the treatment of ARTHRITIS, DERMATITIS, PNEUMONIA, STREPTROCOCACTIC, STAMPS, HEMORRHAGIA",-49984,2022-02-22,2025-01-27,2027-05-14,111,accessory,"['https://salt.tikicdn.com/ts/product/f3/98/5b/4e7e8c38af45450983ed59e3392f1956.png', 'https://salt.tikicdn.com/ts/product/30/4b/e6/f4eab6b7d1d1fc627667294cc8bce035.png']",rabbit,"Apply externally only, avoid contact with eyes.",Temporary fatigue during early use.
"BOSSEN - URI Shield (dogs) Supports Bladder Protection for Dogs, Helps Urinary Health - Box of 12 tablets",-39195,2022-04-04,2024-07-20,2026-07-10,111,accessory,"['https://salt.tikicdn.com/ts/product/5e/b8/81/ec2848dc2921791f6b987c9c0ecf3d55.png', 'https://salt.tikicdn.com/ts/product/61/4a/61/df64e5eeafcc674c53efe45807fb3d36.JPG', 'https://salt.tikicdn.com/ts/product/5b/b1/16/88d2e26d986f0481be7065c935428218.JPG']",cate,Use regularly for best results.,Rare cases of mild headache have been noted.
"[1 Tablet] BRAVECTO chewable tablets |Kills Demodex Scabies, Mites, and Fleas for Dogs",279840,2022-03-03,2024-08-12,2028-10-17,96,accessory,"['https://salt.tikicdn.com/ts/product/50/84/5d/fa74736b999aefd93a5f870c82efbaf0.png', 'https://salt.tikicdn.com/ts/product/ea/95/bc/08c40f14f6e7098a42cbc94aca40a4b1.jpg']",bird,Apply gently before bedtime.,May cause increased thirst.
"BOSSEN - (Fish Oil for DOGS) SHINY for Dog Supplement Vitamins, Omega 3 and Essential Fatty Acids for Dogs",44721,2024-11-04,2024-11-11,2027-03-22,164,accessory,"['https://salt.tikicdn.com/ts/product/b4/ff/eb/541796c2c3966e4f5fa5202361296be3.jpg', 'https://salt.tikicdn.com/ts/product/19/46/7b/04a04259b312f01b49a8fff60da64a5d.jpg', 'https://salt.tikicdn.com/ts/product/5d/85/9f/658e7518c47261ceaa488434ab52b973.jpg']",cate,Take 30 minutes before meals.,Mild digestive upset in some cases.
"VF Core functional reward soup supplemented with Lysine for cats, 12g package",117589,2022-09-27,2025-08-09,2026-12-02,100,accessory,"['https://salt.tikicdn.com/ts/product/19/f5/ef/1aca526889c0e29f926d40c74e0dcec8.jpg', 'https://salt.tikicdn.com/ts/product/bb/d3/0f/e5c0288139a9c2b3ecb685c3e0474468.jpg']",bird,Take one dose every 12 hours.,Rare cases of mild headache have been noted.
"Spray Dog flea and tick treatment spray bottle for dogs Helps kill ticks, lice and fleas Made in Vemedim Vietnam",25732,2022-01-11,2024-09-22,2027-01-13,151,accessory,"['https://salt.tikicdn.com/ts/product/62/78/d8/65c6af87f3f136d84bf7db86c4729e83.jpg', 'https://salt.tikicdn.com/ts/product/15/74/2a/d9b228ea1095f6d05899488395b05b46.jpg']",rabbit,Use regularly for best results.,May cause increased thirst.
"BOSSEN - (Fish Oil for DOGS) SHINY for Dog Supplement Vitamins, Omega 3 and Essential Fatty Acids for Dogs",-52714,2024-11-23,2024-06-05,2027-03-19,95,accessory,"['https://salt.tikicdn.com/ts/product/62/4a/11/71f63f54541c5cdbcb9c79f18bf16ccd.jpg', 'https://salt.tikicdn.com/ts/product/f0/6a/26/50fb3ec7764b62a351d2cc3ced3ae45e.jpg', 'https://salt.tikicdn.com/ts/product/e6/7f/5e/b1043cc9ca55edd17440f58632241475.jpg']",bird,Use 1 capsule daily after meals.,Mild itching at the application site.
Small Ticks and Fleas Frontline Plus for Cats Over 2 Months,4362,2022-03-03,2024-07-05,2026-11-11,50,accessory,['https://salt.tikicdn.com/ts/product/8d/0d/84/c2edd454d3d2557cf1309465665e3fb8.png'],bird,Mix 5 ml with food once daily.,May cause increased thirst.
"Vime Deworm deworming for dogs (Vemedim, box of 10 tablets)",-58556,2022-11-22,2025-02-15,2027-02-02,87,accessory,"['https://salt.tikicdn.com/ts/product/8e/2f/dd/26894934faedf9e3c4b3988b909a66f3.jpg', 'https://salt.tikicdn.com/ts/product/2f/89/af/9853ace6eae865c860d2219104b30a2c.jpg', 'https://salt.tikicdn.com/ts/product/35/81/bb/f1e92c0368dbff32f5e59e68fac0af74.png']",cate,Spray directly onto the surface and let dry.,Mild itching at the application site.
"Vemedim Vime-deworm prevents and treats worms for dogs and cats, safe for puppies and kittens, 20ml bottle",81827,2022-06-06,2025-11-24,2027-04-24,175,accessory,"['https://salt.tikicdn.com/ts/product/de/8e/3a/f83be8f98d08b60ba01c90c29090b9f9.png', 'https://salt.tikicdn.com/ts/product/78/f5/6c/a90276d252d6ca6a0607a334950da621.png', 'https://salt.tikicdn.com/ts/product/e0/48/22/bad480376d81db0d9055a6943f474983.png']",cate,Use as directed by your veterinarian.,Occasional sneezing or nasal irritation.
Bio Gentazol Ear Drops for Dogs,-78410,2023-11-18,2024-03-10,2028-12-12,94,accessory,"['https://salt.tikicdn.com/ts/product/43/9b/1f/c3a46760994dbc399e23fef1ca37dd55.jpg', 'https://salt.tikicdn.com/ts/product/b1/02/0f/50572eb524b2bf873bef000d1d7bc59d.jpg', 'https://salt.tikicdn.com/ts/product/f8/e7/ba/24fb342b6256ee75dc7ef89523f871c0.jpg']",rabbit,Use up to 3 times daily if needed.,Slight redness or irritation may appear.
"VF Core functional reward soup supplemented with Lysine for cats, 12g package",-2984,2024-06-27,2024-12-04,2027-04-07,116,accessory,"['https://salt.tikicdn.com/ts/product/0a/8f/a5/a668cb217d855f81592e27e86479d4fa.jpg', 'https://salt.tikicdn.com/ts/product/60/f2/6d/477f003c6324308a9157abf939ae66e7.jpg', 'https://salt.tikicdn.com/ts/product/c1/64/23/ac284c794f385dcc9974e909b6bd9811.png']",bird,"Administer 2 tablets per day, morning and evening.",May cause light dizziness when used in excess.
1 box x 6 HEARTGARD tablets (new model) deworming dogs from 600gr-11.5kg,-7205,2023-09-07,2025-01-03,2028-02-04,125,accessory,"['https://salt.tikicdn.com/ts/product/8e/2f/dd/26894934faedf9e3c4b3988b909a66f3.jpg', 'https://salt.tikicdn.com/ts/product/2f/89/af/9853ace6eae865c860d2219104b30a2c.jpg', 'https://salt.tikicdn.com/ts/product/35/81/bb/f1e92c0368dbff32f5e59e68fac0af74.png']",dog,Take twice a day with a full glass of water.,Temporary changes in stool consistency.
"Seasal Drop Nose Drops - Helps with Stuffy Nose, Runny Nose, Cleans Nose for Dogs and Cats",-21264,2024-08-10,2025-12-19,2028-07-05,110,accessory,"['https://salt.tikicdn.com/ts/product/3c/e1/1f/9ef5e8b35bd7201c64553da3a78d4dce.jpg', 'https://salt.tikicdn.com/ts/product/a2/13/48/9e045cabcfb1234cffa9c2f92093c7e3.png', 'https://salt.tikicdn.com/ts/product/da/81/71/9aff1e0f70014e68e9e6557e74e7f269.png']",rabbit,Take 30 minutes before meals.,Mild drowsiness may occur during initial use.
FRONIL SPOT prevents and treats ticks and fleas on dogs (1 box x 5 ampoules),62068,2022-04-07,2024-10-31,2026-08-26,162,accessory,"['https://salt.tikicdn.com/ts/product/ce/ed/7b/f468240023b282e05ca24e99e1628470.jpg', 'https://salt.tikicdn.com/ts/product/87/f8/85/716feb792ffb0c1a66cd57755f7fb7f3.jpg', 'https://salt.tikicdn.com/ts/product/6a/08/19/284197838a0cfeb2516e93d43970faed.jpg']",cate,Use regularly for best results.,Temporary stomach discomfort has been reported.
"Vemedim Flucozol Oral or Topical for Dogs and Cats, Ringworm, Respiratory Fungus - 30ml Bottle",-49419,2023-11-22,2024-02-13,2027-04-15,171,accessory,"['https://salt.tikicdn.com/ts/product/47/5b/2e/23e8c445dd3fd04ed7d95f747309925c.jpg', 'https://salt.tikicdn.com/ts/product/35/7d/ae/f7c0b8ab33c2f1bba2275b9dd47ffd76.jpg', 'https://salt.tikicdn.com/ts/product/0d/f7/46/fcfae62898a94be73ba1ce958e99c0ab.jpg']",cate,Add one scoop to drinking water daily.,Slight redness or irritation may appear.
BIO GENTADROP Eye Drops Solution for Dogs and Cats 10ml Bottle,-80294,2024-04-28,2025-04-16,2026-01-22,150,accessory,"['https://salt.tikicdn.com/ts/product/0a/04/ea/003a8a15613e466ea9fe3143f67feaf6.png', 'https://salt.tikicdn.com/ts/product/dc/68/b7/270d89087549f3ad35508d7e9df362a0.jpg', 'https://salt.tikicdn.com/ts/product/6a/26/f8/567db96ed683d507a14cef59027d1f3f.jpg']",rabbit,Use as directed by your veterinarian.,Temporary changes in stool consistency.
BIO GENTADROP Eye Drops Solution for Dogs and Cats 10ml Bottle,-52416,2023-07-01,2025-08-29,2026-03-16,75,accessory,"['https://salt.tikicdn.com/ts/product/7d/f9/51/d3e24f4d5ea7244fb4449cbb5735f4c4.jpg', 'https://salt.tikicdn.com/ts/product/6e/d7/b5/08ca578fca52a9ebf56deab96f528157.jpg', 'https://salt.tikicdn.com/ts/product/5d/4c/69/0ec79081fe2455d0e094ac82bef60359.jpg']",dog,Take twice a day with a full glass of water.,Slight redness or irritation may appear.
Bio Doxy Tabs – Respiratory Infection Support Pills for Dogs and Cats,-108106,2023-09-07,2025-03-25,2027-04-28,138,accessory,"['https://salt.tikicdn.com/ts/product/37/6c/49/27852db1f3c7971300483d303086b016.jpg', 'https://salt.tikicdn.com/ts/product/83/7d/2d/b04897e0f400373f0316d02baa2f0608.jpg', 'https://salt.tikicdn.com/ts/product/6f/3d/b8/ace47eb2333074f63ad6aa246cf4e09e.jpg']",rabbit,Add one scoop to drinking water daily.,Temporary loss of appetite may occur.
"Dog and cat dermatitis spray bottle (Alkin, UK, 50ml)",-32632,2023-12-31,2024-10-31,2026-01-09,169,accessory,"['https://salt.tikicdn.com/ts/product/8e/2f/dd/26894934faedf9e3c4b3988b909a66f3.jpg', 'https://salt.tikicdn.com/ts/product/2f/89/af/9853ace6eae865c860d2219104b30a2c.jpg', 'https://salt.tikicdn.com/ts/product/35/81/bb/f1e92c0368dbff32f5e59e68fac0af74.png']",dog,Take one dose every 12 hours.,Mild drowsiness may occur during initial use.
"VIME FRONDOG kills ticks, fleas, dogs and cats",69271,2024-05-15,2024-02-10,2027-04-10,182,accessory,"['https://salt.tikicdn.com/ts/product/43/9b/1f/c3a46760994dbc399e23fef1ca37dd55.jpg', 'https://salt.tikicdn.com/ts/product/b1/02/0f/50572eb524b2bf873bef000d1d7bc59d.jpg', 'https://salt.tikicdn.com/ts/product/f8/e7/ba/24fb342b6256ee75dc7ef89523f871c0.jpg']",bird,Use as directed by your veterinarian.,Temporary stomach discomfort has been reported.
Nexgard chewable tablets to treat fleas and ticks for dogs (1 tablet) - 4-10kg,13180,2024-08-10,2025-10-11,2027-07-19,111,accessory,"['https://salt.tikicdn.com/ts/product/1e/24/8b/c19e3aef6a40c82f7464649fb3ba6d6a.png', 'https://salt.tikicdn.com/ts/product/2b/5f/2b/a5bc76d737507bb409cf32c9fbaabc3d.png', 'https://salt.tikicdn.com/ts/product/7c/37/11/2d2d7aabbcd14514c4666cc6bf1ff03d.png']",bird,Mix 5 ml with food once daily.,May cause light dizziness when used in excess.
Nexgard chewable tablets to treat fleas and ticks for dogs (1 tablet) - 4-10kg,-64955,2024-09-18,2024-06-05,2026-11-26,97,accessory,"['https://salt.tikicdn.com/ts/product/17/97/84/42ce46d4729c85d4520e6aef9354e621.png', 'https://salt.tikicdn.com/ts/product/ed/2d/36/8aca5a9614d09f9c0c123062f76c2713.jpg', 'https://salt.tikicdn.com/ts/product/a1/80/8c/b8026ad9711454ed04819c6612afe6db.jpg']",rabbit,Take 30 minutes before meals.,Temporary loss of appetite may occur.
Fronil Spot - Small tick and flea ticks for DOGS,14758,2022-06-09,2025-08-23,2028-12-22,156,accessory,"['https://salt.tikicdn.com/ts/product/71/3c/8c/88af8b40612269745e51d4260796c580.jpg', 'https://salt.tikicdn.com/ts/product/81/a6/d5/15590f49b97d220270e054928622833f.jpg', 'https://salt.tikicdn.com/ts/product/81/a5/39/ab45ccdaf9e4912c05ff06e1754f3e9c.jpg']",bird,Use 1 capsule daily after meals.,Mild digestive upset in some cases.
"Hantox 200 kills flies, mosquitoes, ants, cockroaches, ticks, and fleas (100ml bottle)",62974,2023-05-18,2025-02-09,2027-01-26,123,accessory,['https://salt.tikicdn.com/ts/product/da/7a/f4/0b05ac721183ec69272560c45179d307.jpg'],dog,"Administer 2 tablets per day, morning and evening.",May cause slight dryness of the skin.
Vime Deworm for Dogs and Cats Vemedim Tablets - Antihelminthic medicine for pets,39493,2023-02-07,2024-09-22,2027-05-12,173,accessory,"['https://salt.tikicdn.com/ts/product/5d/b8/98/c13598a8a53ab3b4362cf9ae9420a034.png', 'https://salt.tikicdn.com/ts/product/b9/20/41/4f2745484dac90b8174a920fd190f83f.png', 'https://salt.tikicdn.com/ts/product/6e/bd/7b/c8ce9c1d10d0a5f4dff5d48b6016df48.png']",bird,Use 1 capsule daily after meals.,Temporary fatigue during early use.
"Supportive Medicine for the Treatment of Ear Mites, Mites, Scabies, Fleas, Lice, Dogs MSD Bravecto1020 (10 - 20 kg)",22670,2023-07-01,2024-01-28,2027-05-14,120,accessory,"['https://salt.tikicdn.com/ts/product/9e/8b/06/a2a0c4c970633326d9beb18795204378.jpg', 'https://salt.tikicdn.com/ts/product/30/b0/c6/770395e50e15c058d45313786bf306b0.jpg']",dog,Mix 5 ml with food once daily.,Temporary loss of appetite may occur.
"[3g bottle] Amox Plus Pet Mixed Powder for Respiratory and Urinary Support for Dogs, Cats, Pet Birds",7520,2024-05-02,2025-02-16,2028-06-30,95,accessory,"['https://salt.tikicdn.com/ts/product/19/f5/ef/1aca526889c0e29f926d40c74e0dcec8.jpg', 'https://salt.tikicdn.com/ts/product/bb/d3/0f/e5c0288139a9c2b3ecb685c3e0474468.jpg']",bird,Use up to 3 times daily if needed.,Temporary fatigue during early use.
Bio Doxy Tabs – Respiratory Infection Support Pills for Dogs and Cats,27988,2022-02-22,2024-12-04,2027-12-06,121,accessory,"['https://salt.tikicdn.com/ts/product/43/9b/1f/c3a46760994dbc399e23fef1ca37dd55.jpg', 'https://salt.tikicdn.com/ts/product/b1/02/0f/50572eb524b2bf873bef000d1d7bc59d.jpg', 'https://salt.tikicdn.com/ts/product/f8/e7/ba/24fb342b6256ee75dc7ef89523f871c0.jpg']",cate,Use 1 capsule daily after meals.,Mild drowsiness may occur during initial use.
Prevent defecation FAY Repell 200ml Repels dogs and cats,-36796,2022-07-23,2025-02-16,2027-02-28,159,accessory,"['https://salt.tikicdn.com/ts/product/30/d1/22/e2aa8c2c373b848433d3ef2f317acd54.jpg', 'https://salt.tikicdn.com/ts/product/a2/13/48/8dc5832fb5c822bb1ce3f3e65c669484.png', 'https://salt.tikicdn.com/ts/product/da/81/71/a3289ffe36cffb3d694abb610299d9a9.png']",cate,"Administer 2 tablets per day, morning and evening.",May cause light dizziness when used in excess.
1 box x 6 HEARTGARD tablets (new model) deworming dogs from 600gr-11.5kg,-34829,2022-01-11,2024-02-24,2028-06-19,125,accessory,"['https://salt.tikicdn.com/ts/product/ef/44/59/85d6dd2000f8dabde83de3169c9020ad.png', 'https://salt.tikicdn.com/ts/product/e6/4c/a0/9d38c309fa97713a80e52bf366d4ceda.jpg', 'https://salt.tikicdn.com/ts/product/97/72/e6/01b39703794e62ff2adf25914121b263.jpg']",cate,Use 1 capsule daily after meals.,Temporary loss of appetite may occur.
"[3g bottle] Amox Plus Pet Mixed Powder for Respiratory and Urinary Support for Dogs, Cats, Pet Birds",-17031,2022-02-06,2025-09-24,2028-08-22,131,accessory,"['https://salt.tikicdn.com/ts/product/fc/08/9a/1b6ce99e4954b7194cdee5266563a62f.jpg', 'https://salt.tikicdn.com/ts/product/fa/8b/b6/82235dabb68ce9be9442aaf06a833999.jpg', 'https://salt.tikicdn.com/ts/product/be/2e/32/c91921e68514483982f61157b0922d0d.jpg']",cate,Take 30 minutes before meals.,Mild itching at the application site.
"1 box of NexGard Spectra to treat worms, scabies, dermatitis, ticks and lice (dogs 15 - 30kg; box of 3 tablets)",103045,2022-04-07,2025-08-13,2026-03-12,173,accessory,"['https://salt.tikicdn.com/ts/product/39/b8/3e/7024b327329de932ccdc18f703804e4e.jpg', 'https://salt.tikicdn.com/ts/product/48/b1/2f/212957b4c4e160b1a5b7d2062ab5936f.jpg', 'https://salt.tikicdn.com/ts/product/56/36/2c/356365653a97ab5edf5bbda47602d315.jpg']",cate,Add one scoop to drinking water daily.,Occasional nausea in sensitive individuals.
Fronil Spot - Small tick and flea ticks for DOGS,12545,2024-09-03,2024-03-04,2027-04-22,145,accessory,"['https://salt.tikicdn.com/ts/product/c9/00/ff/03719871b9e40653419413a040d4b315.jpg', 'https://salt.tikicdn.com/ts/product/a1/32/dc/e1969e9ec5bc9df293ede08efa77f0d0.jpg', 'https://salt.tikicdn.com/ts/product/dd/98/0d/abfd4f9d6cdf3b2c0a10131654c531c3.jpg']",rabbit,Take 30 minutes before meals.,May cause slight dryness of the skin.
BOSSEN - [CAT Calcium] Calcium Delight for cat Calcium and Mineral Supplement for Cats - Box of 20 packs of 2.5ml,-41466,2024-03-01,2024-03-18,2026-02-13,107,accessory,"['https://salt.tikicdn.com/ts/product/09/89/ff/043a2d30a7f71dc9dd6e60a944930192.png', 'https://salt.tikicdn.com/ts/product/b3/63/e6/b3007db6f24d355ff486e6dd6ecc2571.png']",bird,Use regularly for best results.,Minor skin peeling after prolonged use.
BOSSEN - [CAT Calcium] Calcium Delight for cat Calcium and Mineral Supplement for Cats - Box of 20 packs of 2.5ml,-41940,2022-08-29,2024-03-04,2028-02-04,154,accessory,"['https://salt.tikicdn.com/ts/product/47/5b/2e/23e8c445dd3fd04ed7d95f747309925c.jpg', 'https://salt.tikicdn.com/ts/product/35/7d/ae/f7c0b8ab33c2f1bba2275b9dd47ffd76.jpg', 'https://salt.tikicdn.com/ts/product/0d/f7/46/fcfae62898a94be73ba1ce958e99c0ab.jpg']",dog,Take twice a day with a full glass of water.,Slight redness or irritation may appear.
"Spray Dog flea and tick treatment spray bottle for dogs Helps kill ticks, lice and fleas Made in Vemedim Vietnam",66285,2023-11-22,2024-06-14,2027-06-22,172,accessory,"['https://salt.tikicdn.com/ts/product/45/c4/27/f6896a5cf9583cb939abaff18c107b92.jpg', 'https://salt.tikicdn.com/ts/product/1e/a9/f1/404eaf421c7efc12479cb41254d2b2f3.jpg', 'https://salt.tikicdn.com/ts/product/27/85/96/fc1a1179281a859f7112ae0293f7cf14.jpg']",rabbit,Take 30 minutes before meals.,Rare cases of mild headache have been noted.
"Dog and cat dermatitis spray bottle (Alkin, UK, 50ml)",434857,2022-03-03,2024-07-22,2028-03-18,135,accessory,"['https://salt.tikicdn.com/ts/product/55/c6/5f/06f3c3e70f6cf8d762d9d6c8168f67d7.jpg', 'https://salt.tikicdn.com/ts/product/4b/c1/0d/d730547e6b23f618ea76efda146cdaee.jpg', 'https://salt.tikicdn.com/ts/product/75/89/c2/dc940a59d947ada8320ec2f9589b081a.jpg']",rabbit,Use up to 3 times daily if needed.,Slight redness or irritation may appear.
"Seasal Drop Nose Drops - Helps with Stuffy Nose, Runny Nose, Cleans Nose for Dogs and Cats",-33422,2023-03-28,2024-05-14,2026-12-05,41,accessory,['https://salt.tikicdn.com/media/catalog/product/b/r/bravecto1020.u5530.d20170807.t140852.26066.jpg'],rabbit,Use regularly for best results.,Temporary changes in stool consistency.
"Prevent defecation, repel dogs and cats Fay Repell-400ml",34299,2022-03-03,2024-05-30,2028-05-01,158,accessory,"['https://salt.tikicdn.com/ts/product/71/3c/8c/88af8b40612269745e51d4260796c580.jpg', 'https://salt.tikicdn.com/ts/product/81/a6/d5/15590f49b97d220270e054928622833f.jpg', 'https://salt.tikicdn.com/ts/product/81/a5/39/ab45ccdaf9e4912c05ff06e1754f3e9c.jpg']",rabbit,Apply a thin layer to the affected area once daily.,Minor skin peeling after prolonged use.
"Hantox Spray kills fleas, ticks, and scabies on dogs and cats (100ml bottle)",-15290,2023-05-29,2024-12-04,2026-09-19,107,accessory,"['https://salt.tikicdn.com/ts/product/a8/3a/48/dbc19d5d79d7c487bc0ad0d1fd57fa71.jpg', 'https://salt.tikicdn.com/ts/product/be/dd/b8/436f2b87065837fb598055bf997ff8f7.jpg']",bird,Spray directly onto the surface and let dry.,Rare cases of mild headache have been noted.
"Fenben 10% (Fenbendazole) Special treatment for worms and tapeworms for dogs and cats, can be used for dogs, small cats and pregnant dogs and cats, 120ml bottle, Vemedim product",-30550,2022-01-11,2025-08-09,2027-04-07,159,accessory,"['https://salt.tikicdn.com/ts/product/fc/40/91/6e48e85f7664c69bfa00ffb50f043158.jpg', 'https://salt.tikicdn.com/ts/product/a2/13/48/e82d5bc1711df198af0d2ed83d5f3491.png', 'https://salt.tikicdn.com/ts/product/da/81/71/94cac5656e1492bfdae3056b8582b08c.png']",rabbit,Use as directed by your veterinarian.,Temporary stomach discomfort has been reported.
Vemedim Cestopet Tablets to Prevent and Eliminate Tapeworms for Dogs and Cats - Box of 10 tablets,152437,2022-12-31,2024-03-18,2027-04-10,156,accessory,"['https://salt.tikicdn.com/ts/product/a9/e8/8d/a8aceca1edf7bd5fd41bd9433f2ffb89.jpg', 'https://salt.tikicdn.com/ts/product/28/28/4b/eabb284ad20020bd85c6cd144af5ffbd.jpg']",bird,Use regularly for best results.,Minor skin peeling after prolonged use.
"VF Core functional reward soup supplemented with Lysine for cats, 12g package",-15293,2023-12-31,2024-07-30,2026-03-16,106,accessory,"['https://salt.tikicdn.com/ts/product/fa/6f/03/91e025a51dea9c18a86d1f706df8d0e2.jpg', 'https://salt.tikicdn.com/ts/product/01/e1/ea/8cb5109bfc5f5ccc199fe63bcc1d2386.jpg', 'https://salt.tikicdn.com/ts/product/24/36/d7/555f7cf4604418fc0b0e5df7d4b68182.jpg']",cate,Spray directly onto the surface and let dry.,Temporary stomach discomfort has been reported.
"GENAZOL CREAM Antifungal, Antibacterial Cream for Dogs and Cats, 20g tube",-56436,2022-10-12,2025-04-20,2026-01-01,46,accessory,"['https://salt.tikicdn.com/ts/product/6a/7e/db/476ec18dc2ec57660b31a8e8dbad2b3f.png', 'https://salt.tikicdn.com/ts/product/4b/1f/02/9cc82f73fbbf57370b2e8ac6f8a26e4b.jpg', 'https://salt.tikicdn.com/ts/product/88/9e/75/b6eacf161d66fc7e32c08d5acb89b5ff.png']",rabbit,Use 1 capsule daily after meals.,May cause slight dryness of the skin.
Fronil Spot - Small tick and flea ticks for DOGS,-65218,2024-05-02,2025-01-27,2028-08-22,128,accessory,"['https://salt.tikicdn.com/ts/product/d0/d6/80/235e9e2288c212122ed603dc4c637688.jpg', 'https://salt.tikicdn.com/ts/product/ec/92/b2/1d02b4ffd33387addbbf5a371988dc88.jpg', 'https://salt.tikicdn.com/ts/product/53/5b/dc/26d1fbc887eb41d9a475006e9985e02d.jpg']",cate,Add one scoop to drinking water daily.,Rare cases of mild headache have been noted.
NUVITA GEL Nutritional Gel for Dogs and Cats - 120g,107547,2022-01-02,2025-10-13,2028-06-27,130,accessory,"['https://salt.tikicdn.com/ts/product/47/5b/2e/23e8c445dd3fd04ed7d95f747309925c.jpg', 'https://salt.tikicdn.com/ts/product/35/7d/ae/f7c0b8ab33c2f1bba2275b9dd47ffd76.jpg', 'https://salt.tikicdn.com/ts/product/0d/f7/46/fcfae62898a94be73ba1ce958e99c0ab.jpg']",cate,Take 30 minutes before meals.,Temporary fatigue during early use.
"Bio ProGard chewable tablets kill ticks, fleas, and scabies in dogs",115789,2024-08-08,2025-05-29,2028-02-04,207,accessory,"['https://salt.tikicdn.com/ts/product/d3/0b/18/f82878cb2f83fec9d486976bd226f68a.jpg', 'https://salt.tikicdn.com/ts/product/10/d1/c4/d1cf3695a561445f0b0b906a41b9b12d.jpg', 'https://salt.tikicdn.com/ts/product/1d/06/51/34a3cdf60a116b68cb88c09783d24d54.jpg']",cate,Add one scoop to drinking water daily.,May cause light dizziness when used in excess.
